name,pass,all,score,pass,all,score,Total-score
abort01,0,1,0,0,1,0,0
abs01,0,0,0,0,0,0,0
accept01,1,5,1,1,5,1,2
accept03,11,23,11,11,23,11,22
accept4_01,4,6,4,4,6,4,8
access01,0,1,0,0,1,0,0
access02,0,1,0,0,1,0,0
access03,8,8,8,8,8,8,16
access04,0,1,0,0,1,0,0
acct01,0,1,0,0,1,0,0
acct02,0,0,0,0,0,0,0
acct02_helper,0,0,0,0,0,0,0
acl1,0,0,0,0,0,0,0
add_ipv6addr,0,0,0,0,0,0,0
add_key01,0,1,0,0,1,0,0
add_key02,0,1,0,0,1,0,0
add_key03,0,1,0,0,1,0,0
add_key04,0,1,0,0,1,0,0
add_key05,0,0,0,0,0,0,0
adjtimex01,0,1,0,0,1,0,0
adjtimex02,0,2,0,0,2,0,0
adjtimex03,0,1,0,0,1,0,0
af_alg01,0,1,0,0,1,0,0
af_alg02,0,0,0,-,-,-,0
af_alg03,0,1,0,-,-,-,0
af_alg04,0,1,0,-,-,-,0
af_alg05,0,1,0,-,-,-,0
af_alg06,0,1,0,-,-,-,0
af_alg07,0,0,0,-,-,-,0
aio-stress,0,0,0,-,-,-,0
aio01,0,0,0,-,-,-,0
aio02,0,0,0,-,-,-,0
aiocp,0,0,0,-,-,-,0
aiodio_append,0,0,0,-,-,-,0
aiodio_sparse,0,0,0,-,-,-,0
alarm02,6,6,6,-,-,-,6
alarm03,2,2,2,-,-,-,2
alarm05,3,3,3,-,-,-,3
alarm06,2,2,2,-,-,-,2
alarm07,2,2,2,-,-,-,2
ar01.sh,0,0,0,-,-,-,0
arch_prctl01,0,0,0,-,-,-,0
arping01.sh,0,0,0,-,-,-,0
asapi_01,0,0,0,-,-,-,0
asapi_02,0,1,0,-,-,-,0
asapi_03,0,0,0,-,-,-,0
ask_password.sh,0,0,0,-,-,-,0
aslr01,0,0,0,-,-,-,0
assign_password.sh,0,0,0,-,-,-,0
atof01,0,0,0,-,-,-,0
autogroup01,0,1,0,-,-,-,0
bbr01.sh,0,0,0,-,-,-,0
bbr02.sh,0,0,0,-,-,-,0
bind01,0,3,0,-,-,-,0
bind02,0,1,0,-,-,-,0
bind03,0,2,0,-,-,-,0
bind04,0,0,0,-,-,-,0
bind05,0,0,0,-,-,-,0
bind06,0,0,0,-,-,-,0
bind_noport01.sh,0,0,0,-,-,-,0
binfmt_misc01.sh,0,0,0,-,-,-,0
binfmt_misc02.sh,0,0,0,-,-,-,0
binfmt_misc_lib.sh,0,0,0,-,-,-,0
block_dev,0,0,0,-,-,-,0
bpf_map01,7,7,7,-,-,-,7
bpf_prog01,2,2,2,-,-,-,2
bpf_prog02,0,1,0,-,-,-,0
bpf_prog03,0,1,0,-,-,-,0
bpf_prog04,0,1,0,-,-,-,0
bpf_prog05,0,1,0,-,-,-,0
bpf_prog06,0,1,0,-,-,-,0
bpf_prog07,0,1,0,-,-,-,0
brk01,1,2,1,-,-,-,1
brk02,1,2,1,-,-,-,1
broken_ip-checksum.sh,0,0,0,-,-,-,0
broken_ip-dstaddr.sh,0,0,0,-,-,-,0
broken_ip-fragment.sh,0,0,0,-,-,-,0
broken_ip-ihl.sh,0,0,0,-,-,-,0
broken_ip-nexthdr.sh,0,0,0,-,-,-,0
broken_ip-plen.sh,0,0,0,-,-,-,0
broken_ip-protcol.sh,0,0,0,-,-,-,0
broken_ip-version.sh,0,0,0,-,-,-,0
busy_poll01.sh,0,0,0,-,-,-,0
busy_poll02.sh,0,0,0,-,-,-,0
busy_poll03.sh,0,0,0,-,-,-,0
busy_poll_lib.sh,0,0,0,-,-,-,0
cacheflush01,0,0,0,-,-,-,0
can_bcm01,0,0,0,-,-,-,0
can_filter,0,0,0,-,-,-,0
can_rcv_own_msgs,0,0,0,-,-,-,0
cap_bounds_r,0,0,0,-,-,-,0
cap_bounds_rw,0,0,0,-,-,-,0
cap_bset_inh_bounds,0,0,0,-,-,-,0
capget01,0,1,0,-,-,-,0
capget02,0,1,0,-,-,-,0
capset01,0,1,0,-,-,-,0
capset02,0,1,0,-,-,-,0
capset03,0,1,0,-,-,-,0
capset04,0,1,0,-,-,-,0
cfs_bandwidth01,0,0,0,-,-,-,0
cgroup_core01,0,1,0,-,-,-,0
cgroup_core02,0,1,0,-,-,-,0
cgroup_core03,0,1,0,-,-,-,0
cgroup_fj_function.sh,0,0,0,-,-,-,0
cgroup_fj_proc,0,0,0,-,-,-,0
cgroup_fj_stress.sh,0,0,0,-,-,-,0
cgroup_lib.sh,0,0,0,-,-,-,0
cgroup_regression_test.sh,0,0,0,-,-,-,0
cgroup_xattr,0,0,0,-,-,-,0
change_password.sh,0,0,0,-,-,-,0
chdir01,9,16,9,-,-,-,9
chdir04,3,3,3,-,-,-,3
check_envval,0,0,0,-,-,-,0
check_icmpv4_connectivity,0,0,0,-,-,-,0
